item,name,group,groupname,district,districtname
Q19876367,Michael Barrett,Q488523,Conservative,Q581570,Leeds—Grenville—Thousand Islands and Rideau Lakes
Q71942357,Lindsay Mathyssen,Q130765,New Democratic,Q3258986,London—Fanshawe
Q21642488,Peter Fragiskatos,Q138345,Liberal,Q3258929,London North Centre
Q108628484,Arielle Kayabaga,Q138345,Liberal,Q3258933,London West
Q5703595,Helena Jaczek,Q138345,Liberal,Q16977352,Markham—Stouffville
Q29139548,Mary Ng,Q138345,Liberal,Q16977883,Markham—Thornhill
Q108694832,Paul Chiang,Q138345,Liberal,Q3294346,Markham—Unionville
Q81496,Adam van Koeverden,Q138345,Liberal,Q16969295,Milton
Q3351821,Omar Alghabra,Q138345,Liberal,Q975611,Mississauga Centre
Q7174026,Peter Fonseca,Q138345,Liberal,Q3316906,Mississauga East—Cooksville
Q21642653,Iqra Khalid,Q138345,Liberal,Q16976696,Mississauga—Erin Mills
Q21175255,Sven Spengemann,Q138345,Liberal,Q3316911,Mississauga—Lakeshore
Q108635682,Iqwinder Gaheer,Q138345,Liberal,Q16977742,Mississauga—Malton
Q108655399,Rechie Valdez,Q138345,Liberal,Q3316916,Mississauga—Streetsville
Q22276872,Chandra Arya,Q138345,Liberal,Q3338266,Nepean
Q7823611,Tony Van Bynen,Q138345,Liberal,Q3339132,Newmarket—Aurora
Q22276923,Vance Badawey,Q138345,Liberal,Q3339428,Niagara Centre
Q71929868,Tony Baldinelli,Q488523,Conservative,Q3339434,Niagara Falls
Q3020613,Dean Allison,Q488523,Conservative,Q16977205,Niagara West
Q22442799,Marc Serré,Q138345,Liberal,Q3339824,Nickel Belt
Q2852943,Anthony Rota,Q138345,Liberal,Q3342105,Nipissing—Timiskaming
Q85793092,Philip Lawrence,Q488523,Conservative,Q16977243,Northumberland—Peterborough South
Q67442310,Anita Anand,Q138345,Liberal,Q14875369,Oakville
Q22277495,Pam Damoff,Q138345,Liberal,Q17092100,Oakville North—Burlington
Q17180720,Marie-France Lalonde,Q138345,Liberal,Q3357764,Orléans
Q2982579,Colin Carrie,Q488523,Conservative,Q3357223,Oshawa
Q8049806,Yasir Naqvi,Q138345,Liberal,Q3357743,Ottawa Centre
Q3018407,David McGuinty,Q138345,Liberal,Q3357747,Ottawa South
Q29138522,Mona Fortier,Q138345,Liberal,Q3357766,Ottawa—Vanier
Q22282329,Anita Vandenbeld,Q138345,Liberal,Q3357746,Ottawa West—Nepean
Q3017193,Dave MacKenzie,Q488523,Conservative,Q3359048,Oxford
Q22704264,Arif Virani,Q138345,Liberal,Q3365449,Parkdale—High Park
Q71912401,Scott Aitchison,Q488523,Conservative,Q3366038,Parry Sound—Muskoka
Q21642848,John Nater,Q488523,Conservative,Q3376177,Perth—Wellington
Q108619080,Michelle Ferreri,Q488523,Conservative,Q3376996,Peterborough—Kawartha
Q22279457,Jennifer O'Connell,Q138345,Liberal,Q16977690,Pickering—Uxbridge
Q2962814,Cheryl Gallant,Q488523,Conservative,Q3425442,Renfrew—Nipissing—Pembroke
Q21156165,Majid Jowhari,Q138345,Liberal,Q3431478,Richmond Hill
Q21572835,Chris Bittle,Q138345,Liberal,Q267841,St. Catharines
Q22277949,Marilyn Gladu,Q488523,Conservative,Q3473661,Sarnia—Lambton
Q22096449,Terry Sheehan,Q138345,Liberal,Q3474220,Sault Ste. Marie
Q45311888,Jean Yip,Q138345,Liberal,Q3475169,Scarborough—Agincourt
Q22282385,Salma Zahid,Q138345,Liberal,Q3475163,Scarborough Centre
Q3182063,John McKay,Q138345,Liberal,Q3475168,Scarborough—Guildwood
Q22277334,Shaun Chen,Q138345,Liberal,Q16976145,Scarborough North
Q21160212,Gary Anandasangaree,Q138345,Liberal,Q16979633,Scarborough—Rouge Park
Q4908168,Bill Blair,Q138345,Liberal,Q3475165,Scarborough Southwest
Q71929888,Terry Dowdall,Q488523,Conservative,Q3484122,Simcoe—Grey
Q108687439,Adam Chambers,Q488523,Conservative,Q3484116,Simcoe North
Q108635638,Kevin Vuong,Q327591,Independent,Q16976871,Spadina—Fort York
Q71937055,Eric Duncan,Q488523,Conservative,Q3499856,Stormont—Dundas—South Glengarry
Q108628500,Viviane Lapointe,Q138345,Liberal,Q3502922,Sudbury
Q108619068,Melissa Lantsman,Q488523,Conservative,Q3525846,Thornhill
Q71929797,Marcus Powlowski,Q138345,Liberal,Q3526042,Thunder Bay—Rainy River
Q21573510,Patty Hajdu,Q138345,Liberal,Q3526041,Thunder Bay—Superior North
Q2960818,Charlie Angus,Q130765,New Democratic,Q3529015,Timmins—James Bay
Q6757065,Marci Ien,Q138345,Liberal,Q921653,Toronto Centre
Q21572925,Julie Dabrusin,Q138345,Liberal,Q3532395,Toronto—Danforth
Q2403422,Carolyn Bennett,Q138345,Liberal,Q3495297,Toronto—St. Paul's
Q4492815,Chrystia Freeland,Q138345,Liberal,Q16977089,University—Rosedale
Q22097102,Francesco Sorbara,Q138345,Liberal,Q16976825,Vaughan—Woodbridge
Q21402871,Bardish Chagger,Q138345,Liberal,Q3566686,Waterloo
Q3308109,Michael Chong,Q488523,Conservative,Q3567185,Wellington—Halton Hills
Q71929780,Ryan Turnbull,Q138345,Liberal,Q16967060,Whitby
Q21156200,Ali Ehsassi,Q138345,Liberal,Q3569133,Willowdale
Q62940707,Irek Kusmierczyk,Q138345,Liberal,Q3569307,Windsor—Tecumseh
Q529968,Brian Masse,Q130765,New Democratic,Q3569303,Windsor West
Q100937829,Ya'ara Saks,Q138345,Liberal,Q3572587,York Centre
Q61881929,Scot Davidson,Q488523,Conservative,Q3572619,York—Simcoe
Q16211070,Ahmed Hussen,Q138345,Liberal,Q3572599,York South—Weston
Q3219913,Lawrence MacAulay,Q138345,Liberal,Q2938039,Cardigan
Q3476701,Sean Casey,Q138345,Liberal,Q2961057,Charlottetown
Q4935396,Bobby Morrissey,Q138345,Liberal,Q3049209,Egmont
Q19966780,Heath MacDonald,Q138345,Liberal,Q513772,Malpeque
Q72093411,Sylvie Bérubé,Q735105,Bloc Québécois,Q2821651,Abitibi—Baie-James—Nunavik—Eeyou
Q72177965,Sébastien Lemire,Q735105,Bloc Québécois,Q2821652,Abitibi—Témiscamingue
Q15054353,Mélanie Joly,Q138345,Liberal,Q16826254,Ahuntsic-Cartierville
Q22080847,Angelo Iacono,Q138345,Liberal,Q2834924,Alfred-Pellan
Q22080839,Stéphane Lauzon,Q138345,Liberal,Q16833613,Argenteuil—La Petite-Nation
Q71973951,Kristina Michaud,Q735105,Bloc Québécois,Q16836105,Avignon—La Mitis—Matane—Matapédia
Q71920975,Richard Lehoux,Q488523,Conservative,Q2893126,Beauce
Q72091608,Caroline Desbiens,Q735105,Bloc Québécois,Q528161,Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix
Q71991319,Julie Vignola,Q735105,Bloc Québécois,Q2893257,Beauport—Limoilou
Q3262931,Louis Plamondon,Q735105,Bloc Québécois,Q2886296,Bécancour—Nicolet—Saurel
Q3035523,Dominique Vien,Q488523,Conservative,Q3272022,Bellechasse—Les Etchemins—Lévis
Q3573412,Yves-François Blanchet,Q735105,Bloc Québécois,Q16840121,Beloeil—Chambly
Q72219741,Yves Perron,Q735105,Bloc Québécois,Q2899323,Berthier—Maskinongé
Q3052684,Emmanuel Dubourg,Q138345,Liberal,Q2922232,Bourassa
Q108673849,Pascale St-Onge,Q138345,Liberal,Q2926009,Brome—Missisquoi
Q2833301,Alexandra Mendès,Q138345,Liberal,Q16847474,Brossard—Saint-Lambert
Q21158711,Pierre Paul-Hus,Q488523,Conservative,Q429015,Charlesbourg—Haute-Saint-Charles
Q108648057,Patrick O'Hara,Q735105,Bloc Québécois,Q16961180,Châteauguay—Lacolle
Q16194184,Richard Martel,Q488523,Conservative,Q2963421,Chicoutimi—Le Fjord
Q21356553,Marie-Claude Bibeau,Q138345,Liberal,Q2990889,Compton—Stanstead
Q21572945,Anju Dhillon,Q138345,Liberal,Q16962445,Dorval—Lachine—LaSalle
Q72219413,Martin Champoux,Q735105,Bloc Québécois,Q3040119,Drummond
Q21336098,Diane Lebouthillier,Q138345,Liberal,Q3098861,Gaspésie—Les Îles-de-la-Madeleine
Q21266477,Steven MacKinnon,Q138345,Liberal,Q693762,Gatineau
Q72012015,Soraya Martinez Ferrada,Q138345,Liberal,Q3138926,Hochelaga
Q3359999,Pablo Rodríguez,Q138345,Liberal,Q3140203,Honoré-Mercier
Q21281905,Greg Fergus,Q138345,Liberal,Q3143028,Hull—Aylmer
Q21177259,Gabriel Ste-Marie,Q735105,Bloc Québécois,Q3183138,Joliette
Q72219402,Mario Simard,Q735105,Bloc Québécois,Q3183620,Jonquière
Q17174697,Mario Beaulieu,Q735105,Bloc Québécois,Q3211775,La Pointe-de-l'Île
Q2830317,Alain Therrien,Q735105,Bloc Québécois,Q3217787,La Prairie
Q72194331,Alexis Brunelle-Duceppe,Q735105,Bloc Québécois,Q3214650,Lac-Saint-Jean
Q955143,Francis Scarpaleggia,Q138345,Liberal,Q3214654,Lac-Saint-Louis
Q21064615,David Lametti,Q138345,Liberal,Q16979970,LaSalle—Émard—Verdun
Q72219707,Marie-Hélène Gaudreau,Q735105,Bloc Québécois,Q3219613,Laurentides—Labelle
Q3499230,Steven Guilbeault,Q138345,Liberal,Q3219676,Laurier—Sainte-Marie
Q22278594,Fayçal El-Khoury,Q138345,Liberal,Q3219763,Laval—Les Îles
Q774134,Jacques Gourde,Q488523,Conservative,Q3259970,Lévis—Lotbinière
Q22280112,Sherry Romanado,Q138345,Liberal,Q16979600,Longueuil—Charles-LeMoyne
Q3022947,Denis Trudel,Q735105,Bloc Québécois,Q21027519,Longueuil—Saint-Hubert
Q21159821,Joël Lightbound,Q138345,Liberal,Q3260598,Louis-Hébert
Q3123899,Gérard Deltell,Q488523,Conservative,Q3260876,Louis-Saint-Laurent
Q21167969,Marilène Gill,Q735105,Bloc Québécois,Q3285881,Manicouagan
Q22280066,Yves Robillard,Q138345,Liberal,Q3287683,Marc-Aurèle-Fortin
Q21891834,Luc Berthold,Q488523,Conservative,Q3332796,Mégantic—L'Érable
Q108659311,Jean-Denis Garon,Q735105,Bloc Québécois,Q16999883,Mirabel
Q3501591,Stéphane Bergeron,Q735105,Bloc Québécois,Q16977815,Montarville
Q1396130,Luc Thériault,Q735105,Bloc Québécois,Q3322478,Montcalm
Q2898026,Bernard Généreux,Q488523,Conservative,Q3322832,Montmagny—L'Islet—Kamouraska—Rivière-du-Loup
Q4772746,Anthony Housefather,Q138345,Liberal,Q3321616,Mount Royal
Q703321,Marc Garneau,Q138345,Liberal,Q17044892,Notre-Dame-de-Grâce—Westmount
Q61881930,Rachel Bendayan,Q138345,Liberal,Q3358662,Outremont
Q3099714,Justin Trudeau,Q138345,Liberal,Q3362910,Papineau
Q21284594,Xavier Barsalou-Duval,Q735105,Bloc Québécois,Q16845155,Pierre-Boucher—Les Patriotes—Verchères
Q72012003,Sameer Zuberi,Q138345,Liberal,Q600123,Pierrefonds—Dollard
Q108635691,Sophie Chatel,Q138345,Liberal,Q3397734,Pontiac
Q22277957,Joël Godin,Q488523,Conservative,Q3399336,Portneuf—Jacques-Cartier
Q1685302,Jean-Yves Duclos,Q138345,Liberal,Q3414825,Québec
Q21286025,Monique Pauzé,Q735105,Bloc Québécois,Q3427232,Repentigny
Q21296174,Alain Rayes,Q488523,Conservative,Q3431483,Richmond—Arthabaska
Q72219417,Maxime Blanchette-Joncas,Q735105,Bloc Québécois,Q3432128,Rimouski-Neigette—Témiscouata—Les Basques
Q72219386,Luc Desilets,Q735105,Bloc Québécois,Q3433602,Rivière-des-Mille-Îles
Q21159929,Rhéal Fortin,Q735105,Bloc Québécois,Q428070,Rivière-du-Nord
Q2833494,Alexandre Boulerice,Q130765,New Democratic,Q7368487,Rosemont—La Petite-Patrie
Q30302772,Simon-Pierre Savard-Tremblay,Q735105,Bloc Québécois,Q3462434,Saint-Hyacinthe—Bagot
Q72219274,Christine Normandin,Q735105,Bloc Québécois,Q3462577,Saint-Jean
Q29139554,Emmanuella Lambropoulos,Q138345,Liberal,Q3462729,Saint-Laurent
Q22006190,Patricia Lattanzio,Q138345,Liberal,Q3462835,Saint-Léonard—Saint-Michel
Q21159815,François-Philippe Champagne,Q138345,Liberal,Q3462967,Saint-Maurice—Champlain
Q2977252,Claude DeBellefeuille,Q735105,Bloc Québécois,Q16999438,Salaberry—Suroît
Q72012161,Andréanne Larouche,Q735105,Bloc Québécois,Q3481722,Shefford
Q72012105,Élisabeth Brière,Q138345,Liberal,Q3481910,Sherbrooke
Q108650880,Nathalie Sinclair-Desgagné,Q735105,Bloc Québécois,Q25246025,Terrebonne
Q3263709,Louise Chabot,Q735105,Bloc Québécois,Q16842973,Thérèse-De Blainville
Q108687420,René Villemure,Q735105,Bloc Québécois,Q3539914,Trois-Rivières
Q22121196,Peter Schiefke,Q138345,Liberal,Q3555066,Vaudreuil—Soulanges
Q22279214,Marc Miller,Q138345,Liberal,Q16977201,Ville-Marie—Le Sud-Ouest—Île-des-Sœurs
Q72012050,Annie Koutrakis,Q138345,Liberal,Q16978570,Vimy
Q42666524,Rosemarie Falk,Q488523,Conservative,Q2891841,Battlefords—Lloydminster
Q6385949,Kelly Block,Q488523,Conservative,Q16985258,Carlton Trail—Eagle Creek
Q71920882,Jeremy Patzer,Q488523,Conservative,Q3008864,Cypress Hills—Grasslands
Q71920836,Gary Vidal,Q488523,Conservative,Q3024533,Desnethé—Missinippi—Churchill River
Q108650393,Fraser Tolmie,Q488523,Conservative,Q17037560,Moose Jaw—Lake Centre—Lanigan
Q7292236,Randy Hoback,Q488523,Conservative,Q3403304,Prince Albert
Q7970499,Warren Steinley,Q488523,Conservative,Q16990355,Regina—Lewvan
Q2846724,Andrew Scheer,Q488523,Conservative,Q3423524,Regina—Qu'Appelle
Q72219423,Michael Kram,Q488523,Conservative,Q3423526,Regina—Wascana
Q22770989,Kevin Waugh,Q488523,Conservative,Q16990152,Saskatoon—Grasswood
Q5170456,Corey Tochor,Q488523,Conservative,Q16979773,Saskatoon—University
Q71937029,Brad Redekopp,Q488523,Conservative,Q3473801,Saskatoon West
Q22278635,Robert Kitchen,Q488523,Conservative,Q3491962,Souris—Moose Mountain
Q22116843,Cathay Wagantall,Q488523,Conservative,Q3572613,Yorkton—Melville
Q6832752,Michael McLeod,Q138345,Liberal,Q606515,Northwest Territories
Q108619069,Lori Idlout,Q130765,New Democratic,Q584337,Nunavut
Q108638234,Brendan Hanley,Q138345,Liberal,Q3573173,Yukon
