item,name,group,party,district,constituency,startdate,enddate,psid
Q3501591,Stéphane Bergeron,Q735105,Bloc Québécois,Q16977815,Montarville,,,Q3501591-F8C47A18-28FD-4E05-9925-A8FB82E35CDF
Q3503377,Sukh Dhaliwal,Q138345,Liberal Party of Canada,Q16979255,Surrey—Newton,,,Q3503377-1B1A1B92-03D1-4EF0-B628-9FF36A5338DF
Q3528703,Tim Uppal,Q488523,Conservative Party of Canada,Q16974434,Edmonton Mill Woods,,,Q3528703-B9EC07C4-15EB-4B6A-A44A-CCC6C6432BB5
Q3573412,Yves-François Blanchet,Q735105,Bloc Québécois,Q16840121,Belœil—Chambly,,,Q3573412-10280464-1094-404A-BDC9-A67E03DDB21E
Q42308688,Dane Lloyd,Q488523,Conservative Party of Canada,Q16977239,Sturgeon River—Parkland,,,Q42308688-DA039C14-E363-4C93-80B2-FC686E1DF415
Q42666524,Rosemarie Falk,Q488523,Conservative Party of Canada,Q2891841,Battlefords—Lloydminster,,,Q42666524-22E22D2E-61DA-40AB-8691-CAB8BB37CB3A
Q445620,Elizabeth May,Q691730,Green Party of Canada,Q3460439,Saanich—Gulf Islands,,,Q445620-81694447-3ADF-4D16-9D25-7DC495DEE49B
Q4492815,Chrystia Freeland,Q138345,Liberal Party of Canada,Q16977089,University—Rosedale,,,Q4492815-5B10A67F-A0C9-4B6A-ADBE-899E306E6BEB
Q45311068,Churence Rogers,Q138345,Liberal Party of Canada,Q16844235,Bonavista—Burin—Trinity,,,Q45311068-1DF35BD2-DC37-423E-BE04-7A8EF782D600
Q45311888,Jean Yip,Q138345,Liberal Party of Canada,Q3475169,Scarborough—Agincourt,,,Q45311888-5267F9AC-0735-40A8-96CE-F00D42C6AB08
Q4772746,Anthony Housefather,Q138345,Liberal Party of Canada,Q3321616,Mount Royal,,,Q4772746-5A30C435-CBED-4A7B-A0F4-D1DC86A9F220
Q4908168,Bill Blair,Q138345,Liberal Party of Canada,Q3475165,Scarborough Southwest,,,Q4908168-CA1F047A-2953-4EA4-8B93-80EBCCA8D4A7
Q4934493,Bob Zimmer,Q488523,Conservative Party of Canada,Q3403325,Prince George—Peace River—Northern Rockies,,,Q4934493-9597761A-231E-4BAA-95B8-BC64D708BBC2
Q4935396,Bobby Morrissey,Q138345,Liberal Party of Canada,Q3049209,Egmont,,,Q4935396-71ECFB49-206C-4A41-881D-D7BFA327FE22
Q5108569,Chris d'Entremont,Q488523,Conservative Party of Canada,Q3345310,West Nova,,,Q5108569-5492410A-9B11-43B7-A998-6218A336BEDC
Q5170456,Corey Tochor,Q488523,Conservative Party of Canada,Q16979773,Saskatoon—University,,,Q5170456-C012D65B-3321-44D6-8588-FFA73B02EB06
Q5214525,Dan Vandal,Q138345,Liberal Party of Canada,Q16983980,Saint Boniface—Saint Vital,,,Q5214525-48C682D3-BFD9-4BCC-8CC8-66AFDDA2ED0E
Q529968,Brian Masse,Q130765,New Democratic Party,Q3569303,Windsor West,,,Q529968-380AC6C6-66CE-4F1B-B761-E50D18F9FD8B
Q55122163,George Chahal,Q138345,Liberal Party of Canada,Q16850507,Calgary Skyview,,,Q55122163-5CD66526-7F9B-4673-AB20-B3C698E0AC84
Q55127770,Marty Morantz,Q488523,Conservative Party of Canada,Q2960785,Charleswood—St. James—Assiniboia—Headingley,,,Q55127770-7E73284E-4830-4803-A269-B5767D079BA4
Q55584744,Laila Goodridge,Q488523,Conservative Party of Canada,Q16977823,Fort McMurray—Cold Lake,,,Q55584744-DAE74170-E734-4A25-8FA7-9332EE383C3A
Q5703595,Helena Jaczek,Q138345,Liberal Party of Canada,Q16977352,Markham—Stouffville,,,Q5703595-0CD338A3-4AE0-4945-89A7-723CC9979B60
Q59240247,Jenna Sudds,Q138345,Liberal Party of Canada,Q17088451,Kanata—Carleton,,,Q59240247-F5F3375D-0ABA-46C5-821A-8400D4751331
Q6122681,Jagmeet Singh,Q130765,New Democratic Party,Q16966970,Burnaby South,,,Q6122681-D3D9A080-AB52-4732-9C47-34C740D82817
Q6179373,Jenny Kwan,Q130765,New Democratic Party,Q958124,Vancouver East,,,Q6179373-265A5535-0AF2-487B-8A17-A702C9629CBE
Q61881929,Scot Davidson,Q488523,Conservative Party of Canada,Q3572619,York—Simcoe,,,Q61881929-A6CC6260-30F7-49E3-9980-E3CFC51E4EE4
Q61881930,Rachel Bendayan,Q138345,Liberal Party of Canada,Q3358662,Outremont,,,Q61881930-8D9DF50F-C99B-4A03-BA88-AA4D75986EA6
Q6194065,Jim Carr,Q138345,Liberal Party of Canada,Q3569366,Winnipeg South Centre,,,Q6194065-A10D6CD4-F5AD-4EB5-8A06-5A931D829D4C
Q62940707,Irek Kusmierczyk,Q138345,Liberal Party of Canada,Q3569307,Windsor—Tecumseh,,,Q62940707-8A9EE734-94D7-4352-9EBB-7B7FFCCD1540
Q6385949,Kelly Block,Q488523,Conservative Party of Canada,Q16985258,Carlton Trail—Eagle Creek,,,Q6385949-98022447-2396-4450-AE6F-2DF15BDC419D
Q6451430,Kyle Seeback,Q488523,Conservative Party of Canada,Q602263,Dufferin—Caledon,,,Q6451430-459C1DC0-EEE7-4051-B36B-FA7B1BDABA97
Q6490735,Larry Maguire,Q488523,Conservative Party of Canada,Q2923794,Brandon—Souris,,,Q6490735-D7E6D817-B57F-4F44-8A6C-935898A84371
Q6522015,Len Webber,Q488523,Conservative Party of Canada,Q16850460,Calgary Confederation,,,Q6522015-CB8F0B53-2972-4287-B4CA-89DF31E273CB
Q67442310,Anita Anand,Q138345,Liberal Party of Canada,Q14875369,Oakville,,,Q67442310-6C280530-1BDF-46B5-8A48-4E31E5D37E09
Q6755491,Marc Dalton,Q488523,Conservative Party of Canada,Q16979770,Pitt Meadows—Maple Ridge,,,Q6755491-F4E404C3-6CE8-4F05-8888-5BDD8338620A
Q6757065,Marci Ien,Q138345,Liberal Party of Canada,Q921653,Toronto Centre,,,Q6757065-3F4FFF11-0DDC-4D64-BB64-C93D1965B4C3
Q6788847,Matt Jeneroux,Q488523,Conservative Party of Canada,Q16966795,Edmonton Riverbend,,,Q6788847-0FF7EE7E-07DA-44F8-8921-7F91AE95E3EE
Q6829490,Michael Coteau,Q138345,Liberal Party of Canada,Q3035922,Don Valley East,,,Q6829490-C25C515C-75FF-45FA-87C1-56990E46DD96
Q6832752,Michael McLeod,Q138345,Liberal Party of Canada,Q606515,Northwest Territories,,,Q6832752-947E08BD-ADF3-4273-A3E5-BF157EBFC0E7
Q703321,Marc Garneau,Q138345,Liberal Party of Canada,Q17044892,Notre-Dame-de-Grâce—Westmount,,,Q703321-C64ACBA5-8BB4-4C06-A41D-F6166D68E6F7
Q7174026,Peter Fonseca,Q138345,Liberal Party of Canada,Q3316906,Mississauga East—Cooksville,,,Q7174026-2850447C-7420-4AA0-9379-08EA95FC3F1C
Q71894607,Richard Bragdon,Q488523,Conservative Party of Canada,Q614586,Tobique—Mactaquac,,,Q71894607-5161400E-539C-41CB-8CEE-5B4482798A08
Q71912401,Scott Aitchison,Q488523,Conservative Party of Canada,Q3366038,Parry Sound—Muskoka,,,Q71912401-F07B2003-D495-4D65-8C0B-28C6950B91D2
Q71920812,Dan Mazier,Q488523,Conservative Party of Canada,Q16959462,Dauphin—Swan River—Neepawa,,,Q71920812-F6B7E7EB-C835-4D00-9829-00EB8EF395CE
Q71920836,Gary Vidal,Q488523,Conservative Party of Canada,Q3024533,Desnethé—Missinippi—Churchill River,,,Q71920836-6B2E5239-82E0-469A-AE9D-C0D47C9E2192
Q71920855,Heather McPherson,Q130765,New Democratic Party,Q3048071,Edmonton Strathcona,,,Q71920855-EDED5386-0D2E-4EF9-9097-F700C2CA3C2B
Q71920882,Jeremy Patzer,Q488523,Conservative Party of Canada,Q3008864,Cypress Hills—Grasslands,,,Q71920882-6DA07E2B-E331-4369-BB5B-4C9F7EEDB6F5
Q71920912,Damien Kurek,Q488523,Conservative Party of Canada,Q16950705,Battle River—Crowfoot,,,Q71920912-C1456099-E687-4BB6-A5BF-F4BC0F9258C5
Q71920931,Greg McLean,Q488523,Conservative Party of Canada,Q2933894,Calgary Centre,,,Q71920931-B53CF2D7-C45C-45C1-82AB-AAE98A859784
Q71920975,Richard Lehoux,Q488523,Conservative Party of Canada,Q2893126,Beauce,,,Q71920975-E9106513-641A-402A-B235-D5AEAE70D8C2
Q71921009,Jenica Atwin,Q138345,Liberal Party of Canada,Q3087204,Fredericton,,,Q71921009-DE085C91-1E3E-43CC-955C-AC46E86F6DA5
Q71921024,Jasraj Hallan,Q488523,Conservative Party of Canada,Q16850464,Calgary Forest Lawn,,,Q71921024-17DEA518-D894-4178-9DE7-812B8BA9CA12
Q71929780,Ryan Turnbull,Q138345,Liberal Party of Canada,Q16967060,Whitby,,,Q71929780-84908EB3-88B1-4662-BD58-ED6F2DE81A75
Q71929797,Marcus Powlowski,Q138345,Liberal Party of Canada,Q3526042,Thunder Bay—Rainy River,,,Q71929797-7B9AB37F-4AE5-43B9-A826-3A79C8C9071B
Q71929868,Tony Baldinelli,Q488523,Conservative Party of Canada,Q3339434,Niagara Falls,,,Q71929868-994586D4-8804-4489-ADEB-9E9A4FE3CEF7
Q71929888,Terry Dowdall,Q488523,Conservative Party of Canada,Q3484122,Simcoe—Grey,,,Q71929888-7F0B5BC3-9CF1-4615-B1BE-27A1A064AFF4
Q71929907,Alex Ruff,Q488523,Conservative Party of Canada,Q2926493,Bruce—Grey—Owen Sound,,,Q71929907-47E8F88A-A195-4D98-91DC-AC3E96E45708
Q71929935,Dave Epp,Q488523,Conservative Party of Canada,Q16961184,Chatham-Kent—Leamington,,,Q71929935-9940B436-2711-4599-8AE4-3AC225B90DF5
Q71929954,Doug Shipley,Q488523,Conservative Party of Canada,Q16950439,Barrie—Springwater—Oro-Medonte,,,Q71929954-5231438C-0558-4B3E-881D-9F6B8F3AB5EE
Q71929973,Kody Blois,Q138345,Liberal Party of Canada,Q3197141,Kings—Hants,,,Q71929973-6D2E8C5F-DE40-467F-9BFC-DE74B348E517
Q71930000,Mike Kelloway,Q138345,Liberal Party of Canada,Q2937241,Cape Breton—Canso,,,Q71930000-655A236F-55BC-402C-83B5-F485D54AD9C6
Q71930019,Lianne Rood,Q488523,Conservative Party of Canada,Q3216699,Lambton—Kent—Middlesex,,,Q71930019-9A53B8BA-8BBD-42A4-AC1C-708B39D2A557
Q71936954,Rob Morrison,Q488523,Conservative Party of Canada,Q3198835,Kootenay—Columbia,,,Q71936954-BB63AAA5-C83B-4789-9F78-6F5DC438BF89
Q71936974,Tracy Gray,Q488523,Conservative Party of Canada,Q3194929,Kelowna—Lake Country,,,Q71936974-4E9E540B-0A9B-44AB-A7DD-CE0012E2431E
Q71936984,Patrick Weiler,Q138345,Liberal Party of Canada,Q3567450,West Vancouver—Sunshine Coast—Sea to Sky Country,,,Q71936984-195C8191-6999-44FA-A5C9-F8330EC27467
Q71936991,Raquel Dancho,Q488523,Conservative Party of Canada,Q3196587,Kildonan—St. Paul,,,Q71936991-DD562E65-0B69-41A9-9E9B-733D05A91FF9
Q71936994,Taylor Bachrach,Q130765,New Democratic Party,Q3486212,Skeena—Bulkley Valley,,,Q71936994-4CF8F2B5-2B01-445B-B140-A5262CA25D58
Q71937024,Leah Gazan,Q130765,New Democratic Party,Q3569365,Winnipeg Centre,,,Q71937024-D31DAEE0-6C38-4796-AF15-B7902E13FB62
Q71937029,Brad Redekopp,Q488523,Conservative Party of Canada,Q3473801,Saskatoon West,,,Q71937029-0B07ABFB-23B7-4BF6-940D-353A21281D77
Q71937041,Eric Melillo,Q488523,Conservative Party of Canada,Q3195247,Kenora,,,Q71937041-900C5BA6-C050-4E28-A366-CC9033DC4824
Q71937055,Eric Duncan,Q488523,Conservative Party of Canada,Q3499856,Stormont—Dundas—South Glengarry,,,Q71937055-2AC88043-B61C-40FE-BECC-197E76817439
Q71942357,Lindsay Mathyssen,Q130765,New Democratic Party,Q3258986,London—Fanshawe,,,Q71942357-E42DCDE8-1DBF-4878-8FF4-9ABD6A7ED45F
Q71942395,Brad Vis,Q488523,Conservative Party of Canada,Q16999752,Mission—Matsqui—Fraser Canyon,,,Q71942395-E4DF43B2-DA79-48CB-B4C9-42BF57A5970C
Q71942460,Laurel Collins,Q130765,New Democratic Party,Q3557672,Victoria,,,Q71942460-1F8E3A42-4987-4862-9260-B84705FA3A54
Q71942473,Maninder Sidhu,Q138345,Liberal Party of Canada,Q16953382,Brampton East,,,Q71942473-C21E96CF-1B9C-4951-8F38-CF36AEF8712F
Q71973951,Kristina Michaud,Q735105,Bloc Québécois,Q16836105,Avignon—La Mitis—Matane—Matapédia,,,Q71973951-A0B424E7-5D78-4C1A-9235-8002BADC73A4
Q71991319,Julie Vignola,Q735105,Bloc Québécois,Q2893257,Beauport—Limoilou,,,Q71991319-FF52052B-87EB-4DEF-BB30-B749484C9323
Q72012003,Sameer Zuberi,Q138345,Liberal Party of Canada,Q600123,Pierrefonds—Dollard,,,Q72012003-9846F8CB-0FD2-40F0-8BF8-9F48108A1C6B
Q72012015,Soraya Martinez Ferrada,Q138345,Liberal Party of Canada,Q3138926,Hochelaga,,,Q72012015-D64363A9-2782-47EC-8177-D56C6D6254F2
Q72012050,Annie Koutrakis,Q138345,Liberal Party of Canada,Q16978570,Vimy,,,Q72012050-718DDF1A-5402-4046-B529-DA85B42A252C
Q72012105,Élisabeth Brière,Q138345,Liberal Party of Canada,Q3481910,Sherbrooke,,,Q72012105-6F698610-A1DD-470E-9A31-6ED36E5BE0AE
Q72012161,Andréanne Larouche,Q735105,Bloc Québécois,Q3481722,Shefford,,,Q72012161-B8FF1508-1123-4C97-8290-ECAE095424ED
Q72091608,Caroline Desbiens,Q735105,Bloc Québécois,Q528161,Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,,,Q72091608-6484FD9C-614A-4EB9-B91A-798F0AEDBE2F
Q72093411,Sylvie Bérubé,Q735105,Bloc Québécois,Q2821651,Abitibi—Baie-James—Nunavik—Eeyou,,,Q72093411-BF4D899C-CD96-4077-BD00-7393DF464229
Q72177965,Sébastien Lemire,Q735105,Bloc Québécois,Q2821652,Abitibi—Témiscamingue,,,Q72177965-256704A3-049A-4AB5-A168-9822A5C7FBDE
Q72194331,Alexis Brunelle-Duceppe,Q735105,Bloc Québécois,Q3214650,Lac-Saint-Jean,,,Q72194331-79369120-D88E-4EBA-BA15-2F5A007A74D2
Q72219274,Christine Normandin,Q735105,Bloc Québécois,Q3462577,Saint-Jean,,,Q72219274-95C23A8D-D788-4F73-BCC8-45558DD01A8C
Q72219314,Gerald Soroka,Q488523,Conservative Party of Canada,Q3572142,Yellowhead,,,Q72219314-312E4214-78B2-486A-939D-43B58B80A494
Q72219386,Luc Desilets,Q735105,Bloc Québécois,Q3433602,Rivière-des-Mille-Îles,,,Q72219386-C099E052-3835-48F7-A690-D71DBB4665B0
Q72219402,Mario Simard,Q735105,Bloc Québécois,Q3183620,Jonquière,,,Q72219402-EB1B171B-0D49-4B38-90BE-242F2B33B1B4
Q72219413,Martin Champoux,Q735105,Bloc Québécois,Q3040119,Drummond,,,Q72219413-7CF85678-1DFF-4185-B095-F9B48EBAF4CA
Q72219417,Maxime Blanchette-Joncas,Q735105,Bloc Québécois,Q3432128,Rimouski-Neigette—Témiscouata—Les Basques,,,Q72219417-1FF53348-D3CD-49BB-913B-2E5AFF721F06
Q72219423,Michael Kram,Q488523,Conservative Party of Canada,Q3423526,Regina—Wascana,,,Q72219423-C16F82C5-E439-4103-9BED-8E1E8F9BCA17
Q72219707,Marie-Hélène Gaudreau,Q735105,Bloc Québécois,Q3219613,Laurentides—Labelle,,,Q72219707-3ACD79B3-9E1A-492C-BD50-18173A430A9E
Q72219741,Yves Perron,Q735105,Bloc Québécois,Q2899323,Berthier—Maskinongé,,,Q72219741-73272EAC-5241-492A-9AF1-5BC36C5D9A41
Q7292236,Randy Hoback,Q488523,Conservative Party of Canada,Q3403304,Prince Albert,,,Q7292236-29715D49-7FE5-4EB7-860D-1F867C99E297
Q73210893,Tim Louis,Q138345,Liberal Party of Canada,Q3197577,Kitchener—Conestoga,,,Q73210893-1003355B-FA59-4ADF-AA0E-C5386812B830
Q7340436,Rob Oliphant,Q138345,Liberal Party of Canada,Q3035926,Don Valley West,,,Q7340436-3984FD3C-9DFA-4CE6-88E9-9EC6C20D0E12
Q7364077,Ron Liepert,Q488523,Conservative Party of Canada,Q16954913,Calgary Signal Hill,,,Q7364077-43D5CECB-86DC-4F58-959D-C4959EF6E89A
Q7440780,Seamus O'Regan,Q138345,Liberal Party of Canada,Q3495269,St. John's South—Mount Pearl,,,Q7440780-9D94F3E9-7DA1-4BCF-8F83-C80528F7CB53
Q7679141,Taleeb Noormohamed,Q138345,Liberal Party of Canada,Q17101508,Vancouver Granville,2021-09-01,,Q7679141-24852EE8-0BA5-4D79-B9D9-979AFCDFDAAA
Q7704329,Terry Duguid,Q138345,Liberal Party of Canada,Q3569370,Winnipeg South,,,Q7704329-F7E6CEA8-1DB7-4D77-868E-89132D07B235
Q771878,Mark Strahl,Q488523,Conservative Party of Canada,Q16957671,Chilliwack—Hope,,,Q771878-EC50F754-C088-44F2-B673-B78FD03922B5
Q774134,Jacques Gourde,Q488523,Conservative Party of Canada,Q3259970,Lévis—Lotbinière,,,Q774134-FE88BBDD-D8B0-4A99-B162-9EA832D6DB84
Q7823611,Tony Van Bynen,Q138345,Liberal Party of Canada,Q3339132,Newmarket—Aurora,,,Q7823611-22947F56-D8B1-47F9-87F9-BFB8CBC777CE
Q7970499,Warren Steinley,Q488523,Conservative Party of Canada,Q16990355,Regina—Lewvan,,,Q7970499-8E76B495-2F7F-44E6-8E72-A3ECD6CB4D23
Q8049806,Yasir Naqvi,Q138345,Liberal Party of Canada,Q3357743,Ottawa Centre,,,Q8049806-572488F3-85C3-4383-B966-0DC5309516D1
Q8062466,Yvonne Jones,Q138345,Liberal Party of Canada,Q3214536,Labrador,,,Q8062466-DFB90A73-DCDD-45E0-B58C-DC71357EF0D9
Q81142481,Chris Lewis,Q488523,Conservative Party of Canada,Q3058748,Essex,,,Q81142481-C644D963-3F6D-41EB-AFED-FE8CD307AA04
Q81496,Adam van Koeverden,Q138345,Liberal Party of Canada,Q16969295,Milton,,,Q81496-122E2A57-3640-4013-8340-5C5FF785C704
Q85784352,Matthew Green,Q130765,New Democratic Party,Q3126446,Hamilton Centre,,,Q85784352-5CAC3185-6B58-47B2-AA66-2F3448AA6D90
Q85784352,Matthew Green,Q130765,New Democratic Party,Q3126446,Hamilton Centre,2019-10-21,,Q85784352-C85C6FD0-771A-4A92-AF57-9B74B7479EA7
Q85793092,Philip Lawrence,Q488523,Conservative Party of Canada,Q16977243,Northumberland—Peterborough South,,,Q85793092-9BC05260-5081-4FBE-BA66-3BCB02B11E62
Q94691482,Leslyn Lewis,Q488523,Conservative Party of Canada,Q5641291,Haldimand—Norfolk,,,Q94691482-7DA32842-E613-43F2-8D4D-D0A40FB86E3F
Q955143,Francis Scarpaleggia,Q138345,Liberal Party of Canada,Q3214654,Lac-Saint-Louis,,,Q955143-36BBCAE6-0F75-4EEE-BCE1-C50F9ABCA530
